EtuNimi Sukunimi	St 	1 	2 	3 	Mp 	Ms 	Voittosumma 	¤/St 	V% 	S%
Arsi Skyttä 	5 	1 	1 	0 	0 	3 	550 	110 	20 	40
Juha Mäensivu 	13 	1 	0 	1 	4 	7 	545 	41 	8 	15
Jesse Piirainen 	12 	0 	1 	1 	2 	8 	530 	44 	0 	17
Hannu Markku Pirhonen 	10 	1 	1 	0 	1 	7 	530 	53 	10 	20
Asko Rinta-Erkkilä 	8 	0 	1 	1 	3 	3 	530 	66 	0 	25
Pauli Nuutinen 	8 	0 	0 	0 	3 	5 	524 	65 	0 	0
Ulf Eriksson 	1 	0 	0 	0 	1 	0 	522 	522 	0 	0
Aki Bly 	5 	0 	1 	0 	3 	1 	520 	104 	0 	20
Erica Holm 	6 	1 	1 	2 	1 	1 	520 	86 	17 	67
Heimo Hämäläinen 	8 	1 	1 	0 	1 	5 	520 	65 	13 	25
